0	0	127.889
0	1	77.2828
0	2	38.3617
0	3	57.4702
0	4	137.822
0	5	110.777
0	6	100.5
0	7	120.261
0	8	33.7017
0	9	148.691
0	10	72.8292
0	11	63.5196
0	12	195.938
0	13	164.473
1	0	101.054
1	1	26.5
1	2	94.718
1	3	72.8092
1	4	37.8209
1	5	97.3239
1	6	195.5
1	7	116.828
1	8	38.1494
1	9	126.746
1	10	45.8342
1	11	27.8799
1	12	439.5
1	13	196.797
2	0	77.9622
2	1	32.753
2	2	21.5
2	3	49.196
2	4	54.6772
2	5	90.3563
2	6	120.5
2	7	41.2059
2	8	25.5
2	9	109.079
2	10	56.6172
2	11	37.5517
2	12	238.653
2	13	383.5
3	0	114.098
3	1	66.765
3	2	113.819
3	3	94.6096
3	4	131.1
3	5	83.1153
3	6	75.5
3	7	83.118
3	8	115.733
3	9	96.0849
3	10	35.8709
3	11	103.434
3	12	148.396
3	13	139.453
4	0	166.281
4	1	111.826
4	2	146.777
4	3	113.539
4	4	52.8137
4	5	37.766
4	6	5.5
4	7	74.973
4	8	101.126
4	9	90.8562
4	10	42.6025
4	11	45.5435
4	12	342.811
4	13	224.754
5	0	133.185
5	1	167.001
5	2	87.9784
5	3	56.3051
5	4	61.3632
5	5	68.0488
5	6	58.4794
5	7	156.031
5	8	61.2614
5	9	45.6197
5	10	97.1957
5	11	41.5838
5	12	380.5
5	13	155.54
6	0	66.9558
6	1	89.0045
6	2	90.299
6	3	118.989
6	4	135.712
6	5	114.077
6	6	49.5
6	7	131.325
6	8	79.1716
6	9	175.26
6	10	97.3494
6	11	58.216
6	12	143.578
6	13	272.124
7	0	123.41
7	1	53.7617
7	2	117.12
7	3	19.5
7	4	126.653
7	5	54.9496
7	6	88.5801
7	7	53.5268
7	8	86.7405
7	9	23.4178
7	10	69.1908
7	11	103.552
7	12	286.5
7	13	306.894
8	0	101.458
8	1	148.032
8	2	31.9234
8	3	29.5262
8	4	172.357
8	5	137.564
8	6	55.5
8	7	93.8866
8	8	42.7666
8	9	37.0246
8	10	65.6386
8	11	137.352
8	12	314.677
8	13	232.5
9	0	40.5598
9	1	79.9413
9	2	71.7626
9	3	193.088
9	4	150.388
9	5	50.7316
9	6	77.0019
9	7	132.78
9	8	83.2022
9	9	31.6545
9	10	44.1766
9	11	66.8268
9	12	247.067
9	13	213.398
