0	0	11.0138
0	1	10.7727
0	2	13.0832
0	3	11.359
0	4	10.8361
0	5	10.8258
0	6	115.616
0	7	10.019
0	8	14.848
0	9	11.7058
0	10	11.1247
0	11	10.7469
0	12	357.195
0	13	355.5
1	0	10.9422
1	1	7.5
1	2	11.6525
1	3	11.2388
1	4	13.0356
1	5	11.767
1	6	106.789
1	7	11.9413
1	8	14.2529
1	9	11.994
1	10	14.5724
1	11	13.7449
1	12	355.693
1	13	358.5
2	0	11.2524
2	1	12.9434
2	2	13.5079
2	3	10.6338
2	4	10.8899
2	5	11.1496
2	6	53.7143
2	7	15.3955
2	8	9.5
2	9	12.7742
2	10	11.719
2	11	17.4955
2	12	434.5
2	13	357.363
3	0	11.1068
3	1	11.1486
3	2	10.7204
3	3	10.8778
3	4	11.0897
3	5	11.1912
3	6	67.84
3	7	11.9296
3	8	10.8138
3	9	10.8647
3	10	13.1409
3	11	11.9281
3	12	354.5
3	13	315.881
4	0	10.758
4	1	11.1379
4	2	10.9005
4	3	11.6163
4	4	11.2257
4	5	14.707
4	6	80.7354
4	7	8.5
4	8	9.5
4	9	11.1402
4	10	12.6761
4	11	11.6486
4	12	364.631
4	13	359.5
5	0	10.9044
5	1	10.1561
5	2	11.1767
5	3	10.8268
5	4	10.9263
5	5	10.956
5	6	35.0808
5	7	10.6861
5	8	9.5
5	9	10.9256
5	10	10.8668
5	11	15.111
5	12	358.178
5	13	357.12
6	0	10.5767
6	1	11.0216
6	2	11.4569
6	3	10.6658
6	4	10.8776
6	5	11.2488
6	6	55.0392
6	7	10.5904
6	8	11.3306
6	9	217.185
6	10	10.2415
6	11	10.6973
6	12	352.5
6	13	404.5
7	0	10.768
7	1	10.4278
7	2	12.2824
7	3	13.8252
7	4	10.5757
7	5	11.0173
7	6	122.298
7	7	8.5
7	8	8.5
7	9	12.8445
7	10	11.0137
7	11	11.1602
7	12	432.5
7	13	362.015
8	0	10.5445
8	1	10.9736
8	2	12.6024
8	3	13.1819
8	4	11.5296
8	5	11.0289
8	6	53.5569
8	7	11.0903
8	8	14.4825
8	9	15.0862
8	10	14.2173
8	11	10.8069
8	12	361.839
8	13	434.5
9	0	13.6886
9	1	12.6248
9	2	11.3036
9	3	10.964
9	4	10.6807
9	5	11.1657
9	6	131.728
9	7	11.2045
9	8	9.5
9	9	12.4653
9	10	14.8506
9	11	11.4535
9	12	364.893
9	13	423.182
